sample_id,platform,timestamp,text,source_type,human_label,url,report_channel,reviewer_note,demo_cluster_seed
demo_0023,short_video,2026-04-15,kampanye literasi digital anti judi online untuk siswa dan keluarga,ocr_snapshot,benign,,platform_report,demo_anonymized_synthetic_public_signal,seed_03
demo_0024,public_report,2025-05-07,"bio akun menyebut cuan cepat dan link bio, konteks perlu ditinjau manual kanal utara20[.]invalid",platform_export,suspicious,,aduankonten,demo_anonymized_synthetic_public_signal,seed_20
demo_0025,short_video,2026-01-14,"ocr tangkapan layar memuat rtp tinggi, saldo ewallet, dan kontak 08xx-xxx-1022 mirror elang05[.]invalid admin @elang_review05",platform_export,promotional,,platform_report,demo_anonymized_synthetic_public_signal,seed_22
demo_0026,forum,2026-04-01,caption berisi istilah scatter tapi juga membahas bahaya judi online kontak @bravo_review02 kanal bravo02[.]invalid,ocr_snapshot,suspicious,,none,demo_anonymized_synthetic_public_signal,seed_02
demo_0027,comment,2026-03-20,unggahan edukasi menampilkan contoh tersensor dari pola promosi ilegal kontak @varuna_review21,platform_export,suspicious,,cekrekening,demo_anonymized_synthetic_public_signal,seed_21
demo_0028,image_ocr,2025-11-14,diskusi sekolah tentang cara menjaga ruang digital produktif,public_post,benign,,platform_report,demo_anonymized_synthetic_public_signal,seed_03
demo_0029,public_report,2025-08-23,artikel edukasi dampak sosial ekonomi judi online bagi remaja contoh tautan disamarkan jayakarta10[.]invalid,manual_report,benign,,platform_report,demo_anonymized_synthetic_public_signal,seed_10
demo_0030,public_report,2025-03-22,komentar singkat berisi ajakan dm admin dan klaim bonus tanpa tautan jelas,platform_export,suspicious,,platform_report,demo_anonymized_synthetic_public_signal,seed_08
demo_0031,image_ocr,2025-01-14,komentar berulang menyebut intan09[.]invalid dengan ajakan claim bonus,manual_report,promotional,,aduankonten,demo_anonymized_synthetic_public_signal,seed_09
demo_0032,short_video,2026-02-05,kampanye literasi digital anti judi online untuk siswa dan keluarga,platform_export,benign,,none,demo_anonymized_synthetic_public_signal,seed_06
demo_0033,comment,2025-03-27,laporan warga meminta verifikasi konten mencurigakan tanpa menyebarkan tautan,platform_export,benign,,platform_report,demo_anonymized_synthetic_public_signal,seed_02
demo_0034,forum,2025-03-17,laporan warga meminta verifikasi konten mencurigakan tanpa menyebarkan tautan,manual_report,benign,,aduankonten,demo_anonymized_synthetic_public_signal,seed_06
demo_0035,short_video,2025-03-25,komentar singkat berisi ajakan dm admin dan klaim bonus tanpa tautan jelas,platform_export,suspicious,,none,demo_anonymized_synthetic_public_signal,seed_20
demo_0036,bio_text,2025-07-30,unggahan edukasi menampilkan contoh tersensor dari pola promosi ilegal kontak @fajar_review06,platform_export,suspicious,,none,demo_anonymized_synthetic_public_signal,seed_06
demo_0037,image_ocr,2026-02-11,unggahan edukasi menampilkan contoh tersensor dari pola promosi ilegal kontak @fajar_review06,manual_report,suspicious,,cekrekening,demo_anonymized_synthetic_public_signal,seed_06
demo_0038,public_report,2025-02-02,laporan warga meminta verifikasi konten mencurigakan tanpa menyebarkan tautan,manual_report,benign,,none,demo_anonymized_synthetic_public_signal,seed_17
demo_0039,short_video,2025-03-29,diskusi sekolah tentang cara menjaga ruang digital produktif,manual_report,benign,,platform_report,demo_anonymized_synthetic_public_signal,seed_06
demo_0040,public_report,2025-04-14,komentar singkat berisi ajakan dm admin dan klaim bonus tanpa tautan jelas,ocr_snapshot,suspicious,,aduankonten,demo_anonymized_synthetic_public_signal,seed_13
demo_0041,bio_text,2025-01-24,laporan warga meminta verifikasi konten mencurigakan tanpa menyebarkan tautan,manual_report,benign,,platform_report,demo_anonymized_synthetic_public_signal,seed_05
demo_0042,forum,2026-03-20,komentar singkat berisi ajakan dm admin dan klaim bonus tanpa tautan jelas,ocr_snapshot,suspicious,,platform_report,demo_anonymized_synthetic_public_signal,seed_17
demo_0043,short_video,2026-04-09,komentar singkat berisi ajakan dm admin dan klaim bonus tanpa tautan jelas kontak @utara_review20 kanal utara20[.]invalid,platform_export,suspicious,,none,demo_anonymized_synthetic_public_signal,seed_20
demo_0044,forum,2026-02-01,kelas keamanan siber membahas pelaporan konten ilegal melalui kanal resmi,ocr_snapshot,benign,,platform_report,demo_anonymized_synthetic_public_signal,seed_14
demo_0045,short_video,2025-03-17,caption berisi istilah scatter tapi juga membahas bahaya judi online kanal lintas12[.]invalid,platform_export,suspicious,,cekrekening,demo_anonymized_synthetic_public_signal,seed_12
demo_0046,bio_text,2025-01-11,"bio akun menyebut cuan cepat dan link bio, konteks perlu ditinjau manual kontak @elang_review05",manual_report,suspicious,,cekrekening,demo_anonymized_synthetic_public_signal,seed_05
demo_0047,bio_text,2026-01-13,akun baru diarahkan ke elang05[.]invalid lalu chat @elang_review05 untuk deposit kecil,platform_export,promotional,,platform_report,demo_anonymized_synthetic_public_signal,seed_05
demo_0048,public_report,2025-08-10,caption berisi istilah scatter tapi juga membahas bahaya judi online kontak @fajar_review06 kanal fajar06[.]invalid,ocr_snapshot,suspicious,,none,demo_anonymized_synthetic_public_signal,seed_06
demo_0049,public_report,2025-12-06,kelas keamanan siber membahas pelaporan konten ilegal melalui kanal resmi,public_post,benign,,platform_report,demo_anonymized_synthetic_public_signal,seed_04
demo_0050,comment,2026-02-14,unggahan edukasi menampilkan contoh tersensor dari pola promosi ilegal kontak @lintas_review12,ocr_snapshot,suspicious,,platform_report,demo_anonymized_synthetic_public_signal,seed_12
demo_0051,forum,2025-10-31,akun baru diarahkan ke merapi13[.]invalid lalu chat @merapi_review13 untuk bonus member baru,platform_export,promotional,,platform_report,demo_anonymized_synthetic_public_signal,seed_13
demo_0052,image_ocr,2025-01-21,komentar singkat berisi ajakan dm admin dan klaim bonus tanpa tautan jelas kontak @galaksi_review07 kanal galaksi07[.]invalid,ocr_snapshot,suspicious,,cekrekening,demo_anonymized_synthetic_public_signal,seed_07
demo_0053,forum,2025-05-26,caption berisi istilah scatter tapi juga membahas bahaya judi online kanal jayakarta10[.]invalid,manual_report,suspicious,,aduankonten,demo_anonymized_synthetic_public_signal,seed_10
demo_0054,forum,2026-01-21,diskusi sekolah tentang cara menjaga ruang digital produktif,platform_export,benign,,aduankonten,demo_anonymized_synthetic_public_signal,seed_04
demo_0055,public_report,2025-08-06,turnamen e-sport komunitas tanpa taruhan dan tanpa transaksi uang,ocr_snapshot,benign,,aduankonten,demo_anonymized_synthetic_public_signal,seed_04
demo_0056,forum,2025-12-11,"bio akun menyebut cuan cepat dan link bio, konteks perlu ditinjau manual",manual_report,suspicious,,none,demo_anonymized_synthetic_public_signal,seed_05
demo_0057,image_ocr,2026-01-26,komentar berulang menyebut intan09[.]invalid dengan ajakan promo malam ini,public_post,promotional,,cekrekening,demo_anonymized_synthetic_public_signal,seed_09
demo_0058,bio_text,2025-06-05,"parlay sedang ramai, pola malam ini dibagikan di @varuna_review21, pembayaran QRIS-VARUNA-21",platform_export,promotional,,cekrekening,demo_anonymized_synthetic_public_signal,seed_21
demo_0059,comment,2025-10-04,komentar singkat berisi ajakan dm admin dan klaim bonus tanpa tautan jelas,ocr_snapshot,suspicious,,aduankonten,demo_anonymized_synthetic_public_signal,seed_17
demo_0060,image_ocr,2026-01-03,komentar berulang menyebut alpha01[.]invalid dengan ajakan buruan klaim,ocr_snapshot,promotional,,aduankonten,demo_anonymized_synthetic_public_signal,seed_01
demo_0061,bio_text,2025-05-26,caption berisi istilah scatter tapi juga membahas bahaya judi online kanal halimun08[.]invalid,platform_export,suspicious,,none,demo_anonymized_synthetic_public_signal,seed_08
demo_0062,comment,2026-01-19,artikel edukasi dampak sosial ekonomi judi online bagi remaja,ocr_snapshot,benign,,platform_report,demo_anonymized_synthetic_public_signal,seed_19
demo_0063,public_report,2026-01-13,akun baru diarahkan ke halimun08[.]invalid lalu chat @halimun_review08 untuk bonus member baru,public_post,promotional,,none,demo_anonymized_synthetic_public_signal,seed_08
demo_0064,public_report,2026-02-21,kelas keamanan siber membahas pelaporan konten ilegal melalui kanal resmi,manual_report,benign,,aduankonten,demo_anonymized_synthetic_public_signal,seed_02
demo_0065,comment,2025-11-02,diskusi sekolah tentang cara menjaga ruang digital produktif,platform_export,benign,,cekrekening,demo_anonymized_synthetic_public_signal,seed_06
demo_0066,forum,2026-03-10,unggahan edukasi menampilkan contoh tersensor dari pola promosi ilegal kontak @fajar_review06,ocr_snapshot,suspicious,,platform_report,demo_anonymized_synthetic_public_signal,seed_06
demo_0067,bio_text,2025-07-12,"bio akun menyebut cuan cepat dan link bio, konteks perlu ditinjau manual",public_post,suspicious,,platform_report,demo_anonymized_synthetic_public_signal,seed_17
demo_0068,bio_text,2026-01-31,diskusi sekolah tentang cara menjaga ruang digital produktif,public_post,benign,,cekrekening,demo_anonymized_synthetic_public_signal,seed_15
demo_0069,forum,2025-01-13,unggahan edukasi menampilkan contoh tersensor dari pola promosi ilegal,manual_report,suspicious,,platform_report,demo_anonymized_synthetic_public_signal,seed_20
demo_0070,comment,2026-02-15,diskusi sekolah tentang cara menjaga ruang digital produktif contoh tautan disamarkan fajar06[.]invalid,manual_report,benign,,platform_report,demo_anonymized_synthetic_public_signal,seed_06
demo_0071,short_video,2026-02-02,"info togel saldo ewallet via admin @halimun_review08, cek domain halimun08[.]invalid",platform_export,promotional,,none,demo_anonymized_synthetic_public_signal,seed_08
demo_0072,short_video,2025-03-23,caption berisi istilah scatter tapi juga membahas bahaya judi online kontak @fajar_review06,manual_report,suspicious,,cekrekening,demo_anonymized_synthetic_public_signal,seed_06
demo_0073,image_ocr,2025-06-09,komentar singkat berisi ajakan dm admin dan klaim bonus tanpa tautan jelas kontak @elang_review05,public_post,suspicious,,none,demo_anonymized_synthetic_public_signal,seed_05
demo_0074,image_ocr,2025-10-04,kelas keamanan siber membahas pelaporan konten ilegal melalui kanal resmi,manual_report,benign,,platform_report,demo_anonymized_synthetic_public_signal,seed_03
demo_0075,bio_text,2025-12-30,turnamen e-sport komunitas tanpa taruhan dan tanpa transaksi uang contoh tautan disamarkan dahlia04[.]invalid,manual_report,benign,,platform_report,demo_anonymized_synthetic_public_signal,seed_04
demo_0076,image_ocr,2025-01-16,unggahan edukasi menampilkan contoh tersensor dari pola promosi ilegal kontak @elang_review05,platform_export,suspicious,,platform_report,demo_anonymized_synthetic_public_signal,seed_05
demo_0077,image_ocr,2025-07-10,kampanye literasi digital anti judi online untuk siswa dan keluarga,manual_report,benign,,platform_report,demo_anonymized_synthetic_public_signal,seed_11
demo_0078,comment,2025-11-11,diskusi sekolah tentang cara menjaga ruang digital produktif,manual_report,benign,,platform_report,demo_anonymized_synthetic_public_signal,seed_15
demo_0079,bio_text,2025-11-20,"ocr tangkapan layar memuat rtp tinggi, bonus member baru, dan kontak 08xx-xxx-1004",platform_export,promotional,,aduankonten,demo_anonymized_synthetic_public_signal,seed_04
demo_0080,public_report,2025-03-24,akun baru diarahkan ke elang05[.]invalid lalu chat @elang_review05 untuk wd harian,ocr_snapshot,promotional,,aduankonten,demo_anonymized_synthetic_public_signal,seed_05
demo_0081,comment,2025-06-02,artikel edukasi dampak sosial ekonomi judi online bagi remaja,ocr_snapshot,benign,,cekrekening,demo_anonymized_synthetic_public_signal,seed_01
demo_0082,short_video,2026-01-01,akun baru diarahkan ke alpha01[.]invalid lalu chat @alpha_review01 untuk qris cepat,manual_report,promotional,,aduankonten,demo_anonymized_synthetic_public_signal,seed_01
demo_0083,short_video,2026-02-16,"info rtp tinggi wd harian via admin @kartika_review11, cek domain kartika11[.]invalid",platform_export,promotional,,aduankonten,demo_anonymized_synthetic_public_signal,seed_11
demo_0084,image_ocr,2025-03-16,diskusi sekolah tentang cara menjaga ruang digital produktif,manual_report,benign,,aduankonten,demo_anonymized_synthetic_public_signal,seed_06
demo_0085,comment,2025-11-23,kelas keamanan siber membahas pelaporan konten ilegal melalui kanal resmi contoh tautan disamarkan cendana03[.]invalid,ocr_snapshot,benign,,aduankonten,demo_anonymized_synthetic_public_signal,seed_03
demo_0086,comment,2025-03-25,caption berisi istilah scatter tapi juga membahas bahaya judi online kontak @fajar_review06 kanal fajar06[.]invalid,public_post,suspicious,,cekrekening,demo_anonymized_synthetic_public_signal,seed_06
demo_0087,image_ocr,2025-06-01,unggahan edukasi menampilkan contoh tersensor dari pola promosi ilegal,platform_export,suspicious,,aduankonten,demo_anonymized_synthetic_public_signal,seed_06
demo_0088,bio_text,2026-04-04,unggahan edukasi menampilkan contoh tersensor dari pola promosi ilegal kontak @dahlia_review04,manual_report,suspicious,,platform_report,demo_anonymized_synthetic_public_signal,seed_04
demo_0089,comment,2025-08-30,laporan warga meminta verifikasi konten mencurigakan tanpa menyebarkan tautan contoh tautan disamarkan dahlia04[.]invalid,manual_report,benign,,cekrekening,demo_anonymized_synthetic_public_signal,seed_04
demo_0090,image_ocr,2026-03-07,laporan warga meminta verifikasi konten mencurigakan tanpa menyebarkan tautan,manual_report,benign,,cekrekening,demo_anonymized_synthetic_public_signal,seed_11
demo_0091,forum,2025-08-04,kampanye literasi digital anti judi online untuk siswa dan keluarga,public_post,benign,,platform_report,demo_anonymized_synthetic_public_signal,seed_06
demo_0092,forum,2025-07-20,"bio akun menyebut cuan cepat dan link bio, konteks perlu ditinjau manual kontak @intan_review09",manual_report,suspicious,,platform_report,demo_anonymized_synthetic_public_signal,seed_09
demo_0093,forum,2025-05-08,turnamen e-sport komunitas tanpa taruhan dan tanpa transaksi uang contoh tautan disamarkan alpha01[.]invalid,platform_export,benign,,none,demo_anonymized_synthetic_public_signal,seed_01
demo_0094,comment,2025-12-07,kampanye literasi digital anti judi online untuk siswa dan keluarga,public_post,benign,,cekrekening,demo_anonymized_synthetic_public_signal,seed_09
demo_0095,image_ocr,2025-04-02,komentar singkat berisi ajakan dm admin dan klaim bonus tanpa tautan jelas kontak @alpha_review01 kanal alpha01[.]invalid,public_post,suspicious,,aduankonten,demo_anonymized_synthetic_public_signal,seed_01
demo_0096,forum,2025-11-14,kampanye literasi digital anti judi online untuk siswa dan keluarga,manual_report,benign,,cekrekening,demo_anonymized_synthetic_public_signal,seed_09
demo_0097,comment,2025-04-22,artikel edukasi dampak sosial ekonomi judi online bagi remaja,public_post,benign,,none,demo_anonymized_synthetic_public_signal,seed_06
demo_0098,comment,2025-04-11,komentar berulang menyebut bravo02[.]invalid dengan ajakan promo malam ini mirror dahlia04[.]invalid admin @dahlia_review04,ocr_snapshot,promotional,,platform_report,demo_anonymized_synthetic_public_signal,seed_02
demo_0099,bio_text,2025-09-05,kelas keamanan siber membahas pelaporan konten ilegal melalui kanal resmi,platform_export,benign,,platform_report,demo_anonymized_synthetic_public_signal,seed_06
demo_0100,short_video,2025-06-05,"info maxwin qris cepat via admin @varuna_review21, cek domain varuna21[.]invalid mirror bravo02[.]invalid admin @bravo_review02",platform_export,promotional,,none,demo_anonymized_synthetic_public_signal,seed_21
demo_0101,public_report,2025-09-24,kelas keamanan siber membahas pelaporan konten ilegal melalui kanal resmi,ocr_snapshot,benign,,aduankonten,demo_anonymized_synthetic_public_signal,seed_20
demo_0102,image_ocr,2025-12-09,komentar singkat berisi ajakan dm admin dan klaim bonus tanpa tautan jelas kontak @elang_review05 kanal elang05[.]invalid,public_post,suspicious,,cekrekening,demo_anonymized_synthetic_public_signal,seed_05
demo_0103,comment,2025-03-03,diskusi sekolah tentang cara menjaga ruang digital produktif,platform_export,benign,,platform_report,demo_anonymized_synthetic_public_signal,seed_06
demo_0104,bio_text,2025-10-18,unggahan edukasi menampilkan contoh tersensor dari pola promosi ilegal kontak @merapi_review13,platform_export,suspicious,,cekrekening,demo_anonymized_synthetic_public_signal,seed_13
demo_0105,short_video,2025-02-01,laporan warga meminta verifikasi konten mencurigakan tanpa menyebarkan tautan,public_post,benign,,none,demo_anonymized_synthetic_public_signal,seed_06
demo_0106,image_ocr,2025-04-03,caption berisi istilah scatter tapi juga membahas bahaya judi online kontak @alpha_review01 kanal alpha01[.]invalid,manual_report,suspicious,,aduankonten,demo_anonymized_synthetic_public_signal,seed_01
demo_0107,image_ocr,2025-04-18,"bio akun menyebut cuan cepat dan link bio, konteks perlu ditinjau manual kanal bravo02[.]invalid",manual_report,suspicious,,none,demo_anonymized_synthetic_public_signal,seed_02
demo_0108,bio_text,2025-05-08,unggahan edukasi menampilkan contoh tersensor dari pola promosi ilegal,public_post,suspicious,,platform_report,demo_anonymized_synthetic_public_signal,seed_05
demo_0109,bio_text,2025-06-07,komentar singkat berisi ajakan dm admin dan klaim bonus tanpa tautan jelas kanal lintas12[.]invalid,manual_report,suspicious,,platform_report,demo_anonymized_synthetic_public_signal,seed_12
demo_0110,public_report,2025-12-17,turnamen e-sport komunitas tanpa taruhan dan tanpa transaksi uang,manual_report,benign,,cekrekening,demo_anonymized_synthetic_public_signal,seed_08
demo_0111,bio_text,2025-07-17,caption berisi istilah scatter tapi juga membahas bahaya judi online kontak @merapi_review13,ocr_snapshot,suspicious,,platform_report,demo_anonymized_synthetic_public_signal,seed_13
demo_0112,comment,2026-04-17,kelas keamanan siber membahas pelaporan konten ilegal melalui kanal resmi,ocr_snapshot,benign,,cekrekening,demo_anonymized_synthetic_public_signal,seed_21
demo_0113,comment,2026-04-23,"bio akun menyebut cuan cepat dan link bio, konteks perlu ditinjau manual kontak @fajar_review06 kanal fajar06[.]invalid",ocr_snapshot,suspicious,,none,demo_anonymized_synthetic_public_signal,seed_06
demo_0114,public_report,2025-10-28,kampanye literasi digital anti judi online untuk siswa dan keluarga contoh tautan disamarkan intan09[.]invalid,ocr_snapshot,benign,,none,demo_anonymized_synthetic_public_signal,seed_09
demo_0115,forum,2025-01-04,artikel edukasi dampak sosial ekonomi judi online bagi remaja,platform_export,benign,,none,demo_anonymized_synthetic_public_signal,seed_07
demo_0116,short_video,2025-02-21,turnamen e-sport komunitas tanpa taruhan dan tanpa transaksi uang,manual_report,benign,,none,demo_anonymized_synthetic_public_signal,seed_09
demo_0117,forum,2025-10-22,unggahan edukasi menampilkan contoh tersensor dari pola promosi ilegal kontak @kartika_review11,platform_export,suspicious,,none,demo_anonymized_synthetic_public_signal,seed_11
demo_0118,public_report,2025-05-11,komentar berulang menyebut jayakarta10[.]invalid dengan ajakan link bio,manual_report,promotional,,platform_report,demo_anonymized_synthetic_public_signal,seed_10
demo_0119,forum,2025-10-03,"bio akun menyebut cuan cepat dan link bio, konteks perlu ditinjau manual kontak @cendana_review03",ocr_snapshot,suspicious,,platform_report,demo_anonymized_synthetic_public_signal,seed_03
demo_0120,forum,2026-02-04,"ocr tangkapan layar memuat maxwin, deposit kecil, dan kontak 08xx-xxx-1007",platform_export,promotional,,none,demo_anonymized_synthetic_public_signal,seed_07
demo_0121,comment,2026-03-11,artikel edukasi dampak sosial ekonomi judi online bagi remaja,public_post,benign,,platform_report,demo_anonymized_synthetic_public_signal,seed_01
demo_0122,image_ocr,2026-02-20,"bio akun menyebut cuan cepat dan link bio, konteks perlu ditinjau manual kontak @dahlia_review04",manual_report,suspicious,,platform_report,demo_anonymized_synthetic_public_signal,seed_04
demo_0123,image_ocr,2025-06-09,artikel edukasi dampak sosial ekonomi judi online bagi remaja,ocr_snapshot,benign,,none,demo_anonymized_synthetic_public_signal,seed_06
demo_0124,image_ocr,2025-04-12,kampanye literasi digital anti judi online untuk siswa dan keluarga,ocr_snapshot,benign,,none,demo_anonymized_synthetic_public_signal,seed_10
demo_0125,comment,2025-10-05,"bio akun menyebut cuan cepat dan link bio, konteks perlu ditinjau manual",platform_export,suspicious,,none,demo_anonymized_synthetic_public_signal,seed_03
demo_0126,short_video,2025-09-14,komentar singkat berisi ajakan dm admin dan klaim bonus tanpa tautan jelas kontak @elang_review05,platform_export,suspicious,,none,demo_anonymized_synthetic_public_signal,seed_05
demo_0127,bio_text,2025-09-17,kelas keamanan siber membahas pelaporan konten ilegal melalui kanal resmi,public_post,benign,,aduankonten,demo_anonymized_synthetic_public_signal,seed_15
demo_0128,public_report,2025-12-24,"info slot wd harian via admin @fajar_review06, cek domain fajar06[.]invalid",platform_export,promotional,,aduankonten,demo_anonymized_synthetic_public_signal,seed_06
demo_0129,comment,2025-04-19,"info slot wd harian via admin @elang_review05, cek domain elang05[.]invalid mirror intan09[.]invalid admin @intan_review09",manual_report,promotional,,cekrekening,demo_anonymized_synthetic_public_signal,seed_05
demo_0130,bio_text,2026-03-10,komentar berulang menyebut purnama16[.]invalid dengan ajakan buruan klaim,public_post,promotional,,aduankonten,demo_anonymized_synthetic_public_signal,seed_16
demo_0131,comment,2025-01-10,laporan warga meminta verifikasi konten mencurigakan tanpa menyebarkan tautan,manual_report,benign,,none,demo_anonymized_synthetic_public_signal,seed_20
demo_0132,forum,2025-03-19,"bio akun menyebut cuan cepat dan link bio, konteks perlu ditinjau manual kontak @bravo_review02",ocr_snapshot,suspicious,,aduankonten,demo_anonymized_synthetic_public_signal,seed_02
demo_0133,public_report,2025-06-19,"bio akun menyebut cuan cepat dan link bio, konteks perlu ditinjau manual",manual_report,suspicious,,aduankonten,demo_anonymized_synthetic_public_signal,seed_07
demo_0134,comment,2026-02-07,kampanye literasi digital anti judi online untuk siswa dan keluarga,public_post,benign,,cekrekening,demo_anonymized_synthetic_public_signal,seed_10
demo_0135,forum,2025-12-31,akun baru diarahkan ke waringin22[.]invalid lalu chat @waringin_review22 untuk bonus member baru,ocr_snapshot,promotional,,platform_report,demo_anonymized_synthetic_public_signal,seed_22
demo_0136,bio_text,2025-01-01,unggahan edukasi menampilkan contoh tersensor dari pola promosi ilegal kontak @varuna_review21,platform_export,suspicious,,none,demo_anonymized_synthetic_public_signal,seed_21
demo_0137,comment,2026-04-15,artikel edukasi dampak sosial ekonomi judi online bagi remaja contoh tautan disamarkan halimun08[.]invalid,public_post,benign,,cekrekening,demo_anonymized_synthetic_public_signal,seed_08
demo_0138,bio_text,2026-03-09,"maxwin sedang ramai, pola malam ini dibagikan di @fajar_review06, pembayaran QRIS-FAJAR-06",manual_report,promotional,,platform_report,demo_anonymized_synthetic_public_signal,seed_06
demo_0139,image_ocr,2025-07-02,akun baru diarahkan ke bravo02[.]invalid lalu chat @bravo_review02 untuk wd harian,platform_export,promotional,,platform_report,demo_anonymized_synthetic_public_signal,seed_02
demo_0140,public_report,2025-07-02,unggahan edukasi menampilkan contoh tersensor dari pola promosi ilegal,manual_report,suspicious,,cekrekening,demo_anonymized_synthetic_public_signal,seed_08
demo_0141,image_ocr,2025-06-24,kampanye literasi digital anti judi online untuk siswa dan keluarga,public_post,benign,,none,demo_anonymized_synthetic_public_signal,seed_06
demo_0142,bio_text,2025-04-02,turnamen e-sport komunitas tanpa taruhan dan tanpa transaksi uang,public_post,benign,,aduankonten,demo_anonymized_synthetic_public_signal,seed_11
demo_0143,public_report,2025-07-03,akun baru diarahkan ke waringin22[.]invalid lalu chat @waringin_review22 untuk deposit kecil mirror elang05[.]invalid admin @elang_review05,ocr_snapshot,promotional,,cekrekening,demo_anonymized_synthetic_public_signal,seed_22
demo_0144,short_video,2026-04-05,"ocr tangkapan layar memuat togel, qris cepat, dan kontak 08xx-xxx-1001",platform_export,promotional,,cekrekening,demo_anonymized_synthetic_public_signal,seed_01
demo_0145,forum,2025-09-17,akun baru diarahkan ke halimun08[.]invalid lalu chat @halimun_review08 untuk bonus member baru,ocr_snapshot,promotional,,aduankonten,demo_anonymized_synthetic_public_signal,seed_08
